Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2016,Total,Both Sexes,Garland (TX),City proper,Estimate - de jure,"Final figure, complete",2017,234943,"1,2"
United States of America,2016,Total,Both Sexes,Gilbert (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,237133,"1,2"
United States of America,2016,Total,Both Sexes,Glendale (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,245895,"1,2"
United States of America,2016,Total,Both Sexes,Glendale (CA),City proper,Estimate - de jure,"Final figure, complete",2017,200831,"1,2"
United States of America,2016,Total,Both Sexes,Grand Prairie (TX),City proper,Estimate - de jure,"Final figure, complete",2017,190682,"1,2"
United States of America,2016,Total,Both Sexes,Grand Rapids (MI),City proper,Estimate - de jure,"Final figure, complete",2017,196445,"1,2"
United States of America,2016,Total,Both Sexes,Greeley (CO),City proper,Estimate - de jure,"Final figure, complete",2017,103990,"1,2"
United States of America,2016,Total,Both Sexes,Green Bay (WI),City proper,Estimate - de jure,"Final figure, complete",2017,105139,"1,2"
United States of America,2016,Total,Both Sexes,Greensboro (NC),City proper,Estimate - de jure,"Final figure, complete",2017,287027,"1,2"
United States of America,2016,Total,Both Sexes,Gresham (OR),City proper,Estimate - de jure,"Final figure, complete",2017,111523,"1,2"
United States of America,2016,Total,Both Sexes,Hampton (VA),City proper,Estimate - de jure,"Final figure, complete",2017,135410,"1,2"
United States of America,2016,Total,Both Sexes,Hartford (CT),City proper,Estimate - de jure,"Final figure, complete",2017,123243,"1,2"
United States of America,2016,Total,Both Sexes,Hayward (CA),City proper,Estimate - de jure,"Final figure, complete",2017,158937,"1,2"
United States of America,2016,Total,Both Sexes,Henderson (NV),City proper,Estimate - de jure,"Final figure, complete",2017,292969,"1,2"
United States of America,2016,Total,Both Sexes,Hialeah (FL),City proper,Estimate - de jure,"Final figure, complete",2017,236387,"1,2"
United States of America,2016,Total,Both Sexes,High Point City (NC),City proper,Estimate - de jure,"Final figure, complete",2017,111223,"1,2"
United States of America,2016,Total,Both Sexes,Hillsboro (OR),City proper,Estimate - de jure,"Final figure, complete",2017,105164,"1,2"
United States of America,2016,Total,Both Sexes,Hollywood (FL),City proper,Estimate - de jure,"Final figure, complete",2017,151998,"1,2"
United States of America,2016,Total,Both Sexes,Urban Honolulu (HI),City proper,Estimate - de jure,"Final figure, complete",2017,351792,"1,2"
United States of America,2016,Total,Both Sexes,Houston (TX),City proper,Estimate - de jure,"Final figure, complete",2017,2303482,"1,2"
United States of America,2016,Total,Both Sexes,Huntington Beach (CA),City proper,Estimate - de jure,"Final figure, complete",2017,200652,"1,2"
United States of America,2016,Total,Both Sexes,Huntsville (AL),City proper,Estimate - de jure,"Final figure, complete",2017,193079,"1,2"
United States of America,2016,Total,Both Sexes,Independence (MO),City proper,Estimate - de jure,"Final figure, complete",2017,117030,"1,2"
